mouse,group,condition,laser,time_min,cum_lick_pct
653_3,bla,stim,OFF,0.0,2.5183630640083945
653_3,bla,stim,ON,3.0,3.147953830010493
653_3,bla,stim,OFF,6.0,32.52885624344176
653_3,bla,stim,ON,9.0,46.904512067156354
653_3,bla,stim,OFF,12.0,47.8488982161595
653_3,bla,stim,ON,15.0,63.06400839454355
653_3,bla,stim,OFF,18.0,63.16894018887723
653_3,bla,stim,ON,21.0,64.42812172088142
653_3,bla,stim,OFF,24.0,70.82896117523609
653_3,bla,stim,ON,27.0,74.18677859391396
653_3,bla,stim,OFF,30.0,74.18677859391396
653_3,bla,stim,ON,33.0,79.95802728226653
653_3,bla,stim,OFF,36.0,79.95802728226653
653_3,bla,stim,ON,39.0,93.91395592864637
653_3,bla,stim,OFF,42.0,93.91395592864637
653_3,bla,stim,ON,45.0,93.91395592864637
653_3,bla,stim,OFF,48.0,93.91395592864637
653_3,bla,stim,ON,51.0,93.91395592864637
653_3,bla,stim,OFF,54.0,93.91395592864637
653_3,bla,stim,ON,57.0,100.0
653_6,bla,mock,OFF,0.0,13.67713004484305
653_6,bla,mock,ON,3.0,22.421524663677133
653_6,bla,mock,OFF,6.0,26.00896860986547
653_6,bla,mock,ON,9.0,34.52914798206278
653_6,bla,mock,OFF,12.0,41.70403587443946
653_6,bla,mock,ON,15.0,52.242152466367706
653_6,bla,mock,OFF,18.0,56.95067264573991
